,11 marzo,12 marzo,13 marzo,14 marzo,15 marzo,16 marzo,17 marzo,,
1 Sem,"Repaso de conceptos inical: sobre todo heap, bits y bytes, y tipos de archivo",Poco avance,Sin venir,Sin venir,Avanzando en Makefiile,"Más Makefile, haciendo pruebas. AVANZA",,,
,18 marzo,19 marzo,20 marzo,21 marzo,22 marzo,23 marzo,24 marzo,,
2 Sem,,,,Las funciones van saliendo. Atascado en memset,,,,"NO TIENES LAS 11 SEMANAS PARA EL PRIMER PROYECTO!!! Ve añadiendo los progresos, y viendo qué te queda. ORGANIZA BIEN EL TIEMPO. Marca otros compromisos en esta tabla, para saber qué obstáculos tienes",
,25 marzo,26 marzo,27 marzo,28 marzo,29 marzo,30 marzo,31 marzo,,
3 Sem,,,,,,,,,
,1 abril,2 abril,3 abril,4 abril,5 abril,6 abril,7 abril,,
4 Sem,,,,,,,TERMINA LIBFT!!!,,
,8 abril,9 abril,10 abril,11 abril,12 abril,13 abril,14 abril,,
5 Sem,,,,,,,,,
,15 abril,16 abril,17 abril,18 abril,19 abril,20 abril,21 abril,Son 34 funciones,
6 Sem,,,,,,,,34,100%
,22 abril,23 abril,24 abril,25 abril,26 abril,27 abril,28 abril,,
7 Sem,,,Entrega HAZ,,,,,,
,29 abril,30 abril,1 mayo,2 mayo,3 mayo,4 mayo,5 mayo,,
8 Sem,MIGRACIÓN LINUX,,,,,,,,
,6 mayo,7 mayo,8 mayo,9 mayo,10 mayo,11 mayo,12 mayo,,
9 Sem,,,,Entrega HAZ,,,,,
,13 mayo,14 mayo,15 mayo,16 mayo,17 mayo,18 mayo,19 mayo,,
10 Sem,,,Extraordinaria HAZ,Libft ok,,,,,
,20 mayo,21 mayo,22 mayo,23 mayo,24 mayo,25 mayo,26 mayo,,
11 Sem,GNL,,,,,,,,
,27 mayo,28 mayo,29 mayo,30 mayo,31 mayo,1 junio,2 junio,,
12 Sem,,BH superado,,,,B2BR,,,
,3 junio,4 junio,5 junio,6 junio,7 junio,8 junio,9 junio,,
13 Sem,Proyecto HAZ 1,,Cierre eval HAZ,,,,,,
,10 junio,11 junio,12 junio,13 junio,14 junio,15 junio,16 junio,,
14 Sem,,,,,,,,,
,17 junio,18 junio,19 junio,20 junio,21 junio,22 junio,23 junio,,
15 Sem,,HAZ 2,,FT_PRINTF,,,,,
,24 junio,25 junio,26 junio,27 junio,28 junio,29 junio,30 junio,,
16 Sem,,,,,,,,,
,1 julio,2 julio,3 julio,4 julio,5 julio,6 julio,7 julio,,
17 Sem,,,Proyecto HAZ 3,,Extraord. HAZ,,,,
,8 julio,9 julio,10 julio,11 julio,12 julio,13 julio,14 julio,,
18 Sem,,,,,,,,,
,15 julio,16 julio,17 julio,18 julio,19 julio,20 julio,21 julio,,
19 Sem,,,,,,,,,
,22 julio,23 julio,24 julio,25 julio,26 julio,27 julio,28 julio,,
20 Sem,,,,,BLACK HOLE,,,,
,29 julio,30 julio,31 julio,1 agosto,2 agosto,3 agosto,4 agosto,,
21 Sem,,,,,,,,,
,5 agosto,6 agosto,7 agosto,8 agosto,9 agosto,10 agosto,11 agosto,,
22 Sem,,,,,BLACK HOLE,,,,
,12 agosto,13 agosto,14 agosto,15 agosto,16 agosto,17 agosto,18 agosto,,
23 Sem,,,,,,,,,
,19 agosto,20 agosto,21 agosto,22 agosto,23 agosto,24 agosto,25 agosto,,
24 Sem,,,,,,,,,
,26 agosto,27 agosto,28 agosto,29 agosto,30 agosto,31 agosto,1 septiembre,,
25 Sem,,,,,,,,,
,2 septiembre,3 septiembre,4 septiembre,5 septiembre,6 septiembre,7 septiembre,8 septiembre,,
26 Sem,,,,,,,,,
,9 septiembre,10 septiembre,11 septiembre,12 septiembre,13 septiembre,14 septiembre,15 septiembre,,
27 Sem,,,,,,,,,